index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-7e1ab809-3669-9615-41ad-431040847bff,535.154.05,NVIDIA A800-SXM4-80GB,1321423020298,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
229509,[Not Found],GPU-7e1ab809-3669-9615-41ad-431040847bff,NVIDIA A800-SXM4-80GB,32328

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,81920,10794,70434,2025/06/16 02:01:33.080
0,0,81920,10794,70434,2025/06/16 02:01:38.129
0,0,81920,10794,70434,2025/06/16 02:01:43.168
0,0,81920,10794,70434,2025/06/16 02:01:48.208
0,0,81920,10794,70434,2025/06/16 02:01:53.238
0,0,81920,10794,70434,2025/06/16 02:01:58.270
0,0,81920,10794,70434,2025/06/16 02:02:03.299
0,0,81920,10794,70434,2025/06/16 02:02:08.336
0,0,81920,10794,70434,2025/06/16 02:02:13.372
0,0,81920,10794,70434,2025/06/16 02:02:18.404
0,0,81920,10794,70434,2025/06/16 02:02:23.442
0,0,81920,10794,70434,2025/06/16 02:02:28.481
0,0,81920,10794,70434,2025/06/16 02:02:33.523
0,0,81920,10794,70434,2025/06/16 02:02:38.559
0,0,81920,10794,70434,2025/06/16 02:02:43.588
0,0,81920,10794,70434,2025/06/16 02:02:48.612
0,0,81920,10794,70434,2025/06/16 02:02:53.642
0,0,81920,10794,70434,2025/06/16 02:02:58.670
0,0,81920,10794,70434,2025/06/16 02:03:03.707
0,0,81920,10794,70434,2025/06/16 02:03:08.744
0,0,81920,10794,70434,2025/06/16 02:03:13.775
0,0,81920,10794,70434,2025/06/16 02:03:18.810
0,0,81920,10794,70434,2025/06/16 02:03:23.847
0,0,81920,10794,70434,2025/06/16 02:03:28.880
0,0,81920,10794,70434,2025/06/16 02:03:33.920
0,0,81920,10794,70434,2025/06/16 02:03:38.977
0,0,81920,10794,70434,2025/06/16 02:03:44.010
0,0,81920,10794,70434,2025/06/16 02:03:49.064
0,0,81920,10794,70434,2025/06/16 02:03:54.125
0,0,81920,10794,70434,2025/06/16 02:03:59.164
0,0,81920,10794,70434,2025/06/16 02:04:04.204
0,0,81920,10794,70434,2025/06/16 02:04:09.261
0,0,81920,10794,70434,2025/06/16 02:04:14.300
0,0,81920,10794,70434,2025/06/16 02:04:19.357
0,0,81920,10794,70434,2025/06/16 02:04:24.415
0,0,81920,10794,70434,2025/06/16 02:04:29.454
0,0,81920,10794,70434,2025/06/16 02:04:34.513
0,0,81920,10794,70434,2025/06/16 02:04:39.569
0,0,81920,10794,70434,2025/06/16 02:04:44.621
0,0,81920,10794,70434,2025/06/16 02:04:49.670
0,0,81920,10794,70434,2025/06/16 02:04:54.724
0,0,81920,10794,70434,2025/06/16 02:04:59.763
0,0,81920,10794,70434,2025/06/16 02:05:04.821
0,0,81920,10794,70434,2025/06/16 02:05:09.877
0,0,81920,10794,70434,2025/06/16 02:05:14.931
0,0,81920,10794,70434,2025/06/16 02:05:19.989
0,0,81920,10794,70434,2025/06/16 02:05:25.045
0,0,81920,10794,70434,2025/06/16 02:05:30.103
0,0,81920,10794,70434,2025/06/16 02:05:35.135
0,0,81920,10794,70434,2025/06/16 02:05:40.192
0,0,81920,10794,70434,2025/06/16 02:05:45.253
0,0,81920,10794,70434,2025/06/16 02:05:50.311
0,0,81920,10794,70434,2025/06/16 02:05:55.349
0,0,81920,10794,70434,2025/06/16 02:06:00.405
0,0,81920,10794,70434,2025/06/16 02:06:05.444
0,0,81920,10794,70434,2025/06/16 02:06:10.496
0,0,81920,10794,70434,2025/06/16 02:06:15.527
0,0,81920,10794,70434,2025/06/16 02:06:20.563
0,0,81920,10794,70434,2025/06/16 02:06:25.600
